"N_t","metric","mean","min","max","phase","strategy"
1,"Common Alleles",0.140122594440485,0.107864100736517,0.185554763601806,"Target site","Target site"
2,"Common Alleles",0.183643502019482,0.167379425041578,0.192325968163459,"Target site","Target site"
3,"Common Alleles",0.193929080541696,0.187693038726538,0.195652173913043,"Target site","Target site"
4,"Common Alleles",0.197757543359468,0.19672131147541,0.198265621287717,"Target site","Target site"
5,"Common Alleles",0.200522689474935,0.200522689474935,0.200522689474935,"Target site","Target site"
1,"Rare Alleles",0.0152057497746168,0.0109185615546429,0.0188320144245217,"Target site","Target site"
2,"Rare Alleles",0.0233058198938195,0.0213362716618251,0.0244415506360813,"Target site","Target site"
3,"Rare Alleles",0.0281860162275869,0.0274466593208454,0.0290493839527196,"Target site","Target site"
4,"Rare Alleles",0.0324275267955524,0.0316538114795152,0.0327556846639287,"Target site","Target site"
5,"Rare Alleles",0.0363618150856456,0.0363618150856456,0.0363618150856456,"Target site","Target site"
6,"Common Alleles",0.439369684010454,0.432763126633405,0.444998812069375,"Additional sampling","1 indv. per site"
7,"Common Alleles",0.566726181990972,0.558564979805179,0.572701354240912,"Additional sampling","1 indv. per site"
8,"Common Alleles",0.638720242337848,0.605369446424329,0.652767878355904,"Additional sampling","1 indv. per site"
9,"Common Alleles",0.702663102874792,0.678427179852697,0.712758374910905,"Additional sampling","1 indv. per site"
10,"Common Alleles",0.744734616298408,0.71655975291043,0.757424566405322,"Additional sampling","1 indv. per site"
11,"Common Alleles",0.77929686386315,0.757305773342837,0.792112140650986,"Additional sampling","1 indv. per site"
12,"Common Alleles",0.808511285340936,0.787004038964125,0.819315751960086,"Additional sampling","1 indv. per site"
13,"Common Alleles",0.834684010453789,0.816227132335472,0.846281777144215,"Additional sampling","1 indv. per site"
14,"Common Alleles",0.855676288904728,0.841292468519838,0.865763839391779,"Additional sampling","1 indv. per site"
15,"Common Alleles",0.878627227369922,0.86255642670468,0.891660727013542,"Additional sampling","1 indv. per site"
16,"Common Alleles",0.896938465193633,0.879543834640057,0.907935376574008,"Additional sampling","1 indv. per site"
17,"Common Alleles",0.908967450700879,0.894274174388216,0.919220717510097,"Additional sampling","1 indv. per site"
18,"Common Alleles",0.919549655500119,0.906509859824186,0.928724162508909,"Additional sampling","1 indv. per site"
6,"Rare Alleles",0.0693069217670039,0.0672142642492237,0.070419713512972,"Additional sampling","1 indv. per site"
7,"Rare Alleles",0.0898531503556045,0.0860462786737454,0.0934588800961635,"Additional sampling","1 indv. per site"
8,"Rare Alleles",0.110004607833317,0.0976660322548332,0.117900430732245,"Additional sampling","1 indv. per site"
9,"Rare Alleles",0.126632274867274,0.113492937994591,0.134528698787939,"Additional sampling","1 indv. per site"
10,"Rare Alleles",0.145741961334268,0.129420014023841,0.156265651607733,"Additional sampling","1 indv. per site"
11,"Rare Alleles",0.163193428829009,0.148051687869378,0.173795452268857,"Additional sampling","1 indv. per site"
12,"Rare Alleles",0.181003405789843,0.164379445056596,0.193328658719824,"Additional sampling","1 indv. per site"
13,"Rare Alleles",0.199182309926876,0.184413502955024,0.212260843433838,"Additional sampling","1 indv. per site"
14,"Rare Alleles",0.215907542822799,0.200140238405289,0.228588600621056,"Additional sampling","1 indv. per site"
15,"Rare Alleles",0.23453851547631,0.216868676750476,0.249524191124912,"Additional sampling","1 indv. per site"
16,"Rare Alleles",0.253909045377141,0.234698988280076,0.267254332365021,"Additional sampling","1 indv. per site"
17,"Rare Alleles",0.268061805068617,0.252328959230692,0.281678854051888,"Additional sampling","1 indv. per site"
