"N_t","metric","mean","min","max","phase","strategy"
1,"Prop. kinship > 0.0442",NA,NA,NA,"Target site","Target site"
2,"Prop. kinship > 0.0442",1,1,1,"Target site","Target site"
3,"Prop. kinship > 0.0442",1,1,1,"Target site","Target site"
4,"Prop. kinship > 0.0442",1,1,1,"Target site","Target site"
5,"Prop. kinship > 0.0442",1,1,1,"Target site","Target site"
1,"Mean kinship coefficient",NA,NA,NA,"Target site","Target site"
2,"Mean kinship coefficient",0.408566725540213,0.347682181390266,0.479348465851924,"Target site","Target site"
3,"Mean kinship coefficient",0.409457732079433,0.35847600448559,0.445444512781116,"Target site","Target site"
4,"Mean kinship coefficient",0.40838649537452,0.388631503586646,0.42378138049291,"Target site","Target site"
5,"Mean kinship coefficient",0.408570982119625,0.408570982119625,0.408570982119625,"Target site","Target site"
6,"Prop. kinship > 0.0442",0.666666666666667,0.666666666666667,0.666666666666667,"Additional sampling","1 indv. per site"
7,"Prop. kinship > 0.0442",0.476190476190476,0.476190476190476,0.476190476190476,"Additional sampling","1 indv. per site"
8,"Prop. kinship > 0.0442",0.357142857142857,0.357142857142857,0.357142857142857,"Additional sampling","1 indv. per site"
9,"Prop. kinship > 0.0442",0.277777777777778,0.277777777777778,0.277777777777778,"Additional sampling","1 indv. per site"
10,"Prop. kinship > 0.0442",0.222222222222222,0.222222222222222,0.222222222222222,"Additional sampling","1 indv. per site"
11,"Prop. kinship > 0.0442",0.181818181818182,0.181818181818182,0.181818181818182,"Additional sampling","1 indv. per site"
12,"Prop. kinship > 0.0442",0.151515151515152,0.151515151515152,0.151515151515152,"Additional sampling","1 indv. per site"
13,"Prop. kinship > 0.0442",0.128205128205128,0.128205128205128,0.128205128205128,"Additional sampling","1 indv. per site"
14,"Prop. kinship > 0.0442",0.10989010989011,0.10989010989011,0.10989010989011,"Additional sampling","1 indv. per site"
15,"Prop. kinship > 0.0442",0.0952380952380952,0.0952380952380952,0.0952380952380952,"Additional sampling","1 indv. per site"
16,"Prop. kinship > 0.0442",0.0833333333333333,0.0833333333333333,0.0833333333333333,"Additional sampling","1 indv. per site"
17,"Prop. kinship > 0.0442",0.0735294117647059,0.0735294117647059,0.0735294117647059,"Additional sampling","1 indv. per site"
18,"Prop. kinship > 0.0442",0.065359477124183,0.065359477124183,0.065359477124183,"Additional sampling","1 indv. per site"
6,"Mean kinship coefficient",0.272380654746417,0.272380654746417,0.272380654746417,"Additional sampling","1 indv. per site"
7,"Mean kinship coefficient",0.194557610533155,0.194557610533155,0.194557610533155,"Additional sampling","1 indv. per site"
8,"Mean kinship coefficient",0.145918207899866,0.145918207899866,0.145918207899866,"Additional sampling","1 indv. per site"
9,"Mean kinship coefficient",0.113491939477674,0.113491939477674,0.113491939477674,"Additional sampling","1 indv. per site"
10,"Mean kinship coefficient",0.0907935515821389,0.0907935515821389,0.0907935515821389,"Additional sampling","1 indv. per site"
11,"Mean kinship coefficient",0.0742856331126591,0.0742856331126591,0.0742856331126591,"Additional sampling","1 indv. per site"
12,"Mean kinship coefficient",0.0619046942605492,0.0619046942605492,0.0619046942605492,"Additional sampling","1 indv. per site"
13,"Mean kinship coefficient",0.0523808951435417,0.0523808951435417,0.0523808951435417,"Additional sampling","1 indv. per site"
14,"Mean kinship coefficient",0.0448979101230357,0.0448979101230357,0.0448979101230357,"Additional sampling","1 indv. per site"
15,"Mean kinship coefficient",0.038911522106631,0.038911522106631,0.038911522106631,"Additional sampling","1 indv. per site"
16,"Mean kinship coefficient",0.0340475818433021,0.0340475818433021,0.0340475818433021,"Additional sampling","1 indv. per site"
17,"Mean kinship coefficient",0.0300419839793842,0.0300419839793842,0.0300419839793842,"Additional sampling","1 indv. per site"
18,"Mean kinship coefficient",0.0267039857594526,0.0267039857594526,0.0267039857594526,"Additional sampling","1 indv. per site"
