"N_t","metric","mean","min","max","phase","strategy"
1,"Prop. kinship > 0.0442",NA,NA,NA,"Target site","Target site"
2,"Prop. kinship > 0.0442",1,1,1,"Target site","Target site"
3,"Prop. kinship > 0.0442",1,1,1,"Target site","Target site"
4,"Prop. kinship > 0.0442",1,1,1,"Target site","Target site"
5,"Prop. kinship > 0.0442",1,1,1,"Target site","Target site"
1,"Mean kinship coefficient",NA,NA,NA,"Target site","Target site"
2,"Mean kinship coefficient",0.471173792554582,0.465980740448608,0.474431145711598,"Target site","Target site"
3,"Mean kinship coefficient",0.471138232505355,0.468520927981984,0.473904116835626,"Target site","Target site"
4,"Mean kinship coefficient",0.471152966744528,0.469839996857137,0.473220014927981,"Target site","Target site"
5,"Mean kinship coefficient",0.471142650108985,0.471142650108985,0.471142650108985,"Target site","Target site"
6,"Prop. kinship > 0.0442",0.666666666666667,0.666666666666667,0.666666666666667,"Additional sampling","1 indv. per site"
7,"Prop. kinship > 0.0442",0.476190476190476,0.476190476190476,0.476190476190476,"Additional sampling","1 indv. per site"
8,"Prop. kinship > 0.0442",0.357142857142857,0.357142857142857,0.357142857142857,"Additional sampling","1 indv. per site"
9,"Prop. kinship > 0.0442",0.277777777777778,0.277777777777778,0.277777777777778,"Additional sampling","1 indv. per site"
10,"Prop. kinship > 0.0442",0.222222222222222,0.222222222222222,0.222222222222222,"Additional sampling","1 indv. per site"
11,"Prop. kinship > 0.0442",0.181818181818182,0.181818181818182,0.181818181818182,"Additional sampling","1 indv. per site"
12,"Prop. kinship > 0.0442",0.151515151515152,0.151515151515152,0.151515151515152,"Additional sampling","1 indv. per site"
13,"Prop. kinship > 0.0442",0.128205128205128,0.128205128205128,0.128205128205128,"Additional sampling","1 indv. per site"
14,"Prop. kinship > 0.0442",0.10989010989011,0.10989010989011,0.10989010989011,"Additional sampling","1 indv. per site"
15,"Prop. kinship > 0.0442",0.0952380952380952,0.0952380952380952,0.0952380952380952,"Additional sampling","1 indv. per site"
16,"Prop. kinship > 0.0442",0.0833333333333333,0.0833333333333333,0.0833333333333333,"Additional sampling","1 indv. per site"
17,"Prop. kinship > 0.0442",0.0735294117647059,0.0735294117647059,0.0735294117647059,"Additional sampling","1 indv. per site"
18,"Prop. kinship > 0.0442",0.065359477124183,0.065359477124183,0.065359477124183,"Additional sampling","1 indv. per site"
6,"Mean kinship coefficient",0.314095100072657,0.314095100072657,0.314095100072657,"Additional sampling","1 indv. per site"
7,"Mean kinship coefficient",0.224353642909041,0.224353642909041,0.224353642909041,"Additional sampling","1 indv. per site"
8,"Mean kinship coefficient",0.16826523218178,0.16826523218178,0.16826523218178,"Additional sampling","1 indv. per site"
9,"Mean kinship coefficient",0.130872958363607,0.130872958363607,0.130872958363607,"Additional sampling","1 indv. per site"
10,"Mean kinship coefficient",0.104698366690886,0.104698366690886,0.104698366690886,"Additional sampling","1 indv. per site"
11,"Mean kinship coefficient",0.0856623000198155,0.0856623000198155,0.0856623000198155,"Additional sampling","1 indv. per site"
12,"Mean kinship coefficient",0.0713852500165129,0.0713852500165129,0.0713852500165129,"Additional sampling","1 indv. per site"
13,"Mean kinship coefficient",0.0604029038601263,0.0604029038601263,0.0604029038601263,"Additional sampling","1 indv. per site"
14,"Mean kinship coefficient",0.051773917594394,0.051773917594394,0.051773917594394,"Additional sampling","1 indv. per site"
15,"Mean kinship coefficient",0.0448707285818081,0.0448707285818081,0.0448707285818081,"Additional sampling","1 indv. per site"
16,"Mean kinship coefficient",0.0392618875090821,0.0392618875090821,0.0392618875090821,"Additional sampling","1 indv. per site"
17,"Mean kinship coefficient",0.0346428419197783,0.0346428419197783,0.0346428419197783,"Additional sampling","1 indv. per site"
18,"Mean kinship coefficient",0.0307936372620252,0.0307936372620252,0.0307936372620252,"Additional sampling","1 indv. per site"
