"N_t","metric","mean","min","max","phase","strategy"
1,"Common Alleles",0.190664528391542,0.184485626039439,0.194464243288192,"Target site","Target site"
2,"Common Alleles",0.205409004514136,0.203611309099549,0.207293894036588,"Target site","Target site"
3,"Common Alleles",0.210625089094797,0.209194583036351,0.211808030411024,"Target site","Target site"
4,"Common Alleles",0.21450047517225,0.213589926348301,0.215371822285579,"Target site","Target site"
5,"Common Alleles",0.217866476597767,0.217866476597767,0.217866476597767,"Target site","Target site"
1,"Rare Alleles",0.0239155564459581,0.0225383151357307,0.025643594109987,"Target site","Target site"
2,"Rare Alleles",0.0309321847140138,0.0288490433737353,0.0332565361113894,"Target site","Target site"
3,"Rare Alleles",0.0362705599519183,0.03375738755885,0.0382650505859962,"Target site","Target site"
4,"Rare Alleles",0.0412979064409496,0.0398677752178704,0.0426725433236502,"Target site","Target site"
5,"Rare Alleles",0.0460783331663829,0.0460783331663829,0.0460783331663829,"Target site","Target site"
6,"Common Alleles",0.44338191969589,0.435732953195533,0.449156569256355,"Additional sampling","1 indv. per site"
7,"Common Alleles",0.569490140175814,0.559515324305061,0.577096697552863,"Additional sampling","1 indv. per site"
8,"Common Alleles",0.640713471133286,0.604894274174388,0.656450463292944,"Additional sampling","1 indv. per site"
9,"Common Alleles",0.706042290330245,0.683416488477073,0.7167973390354,"Additional sampling","1 indv. per site"
10,"Common Alleles",0.748291874554526,0.719291993347589,0.760275599904966,"Additional sampling","1 indv. per site"
11,"Common Alleles",0.781740199572345,0.756830601092896,0.794606794963174,"Additional sampling","1 indv. per site"
12,"Common Alleles",0.810096459966738,0.790686623901164,0.822166785459729,"Additional sampling","1 indv. per site"
13,"Common Alleles",0.835307198859587,0.819315751960086,0.848182466143977,"Additional sampling","1 indv. per site"
14,"Common Alleles",0.85535851746258,0.838679021145165,0.868496079828938,"Additional sampling","1 indv. per site"
15,"Common Alleles",0.878120812544547,0.859111427892611,0.890710382513661,"Additional sampling","1 indv. per site"
16,"Common Alleles",0.895929318127821,0.878118317890235,0.908054169636493,"Additional sampling","1 indv. per site"
17,"Common Alleles",0.907469588976004,0.89344262295082,0.918270373010216,"Additional sampling","1 indv. per site"
18,"Common Alleles",0.917711214065099,0.903302447137087,0.927773818009028,"Additional sampling","1 indv. per site"
6,"Rare Alleles",0.0813384754081939,0.0785335069618351,0.082840829409997,"Additional sampling","1 indv. per site"
7,"Rare Alleles",0.101809375939096,0.0971651808073725,0.105078633677251,"Additional sampling","1 indv. per site"
8,"Rare Alleles",0.121872282880898,0.108284082941,0.130021035760793,"Additional sampling","1 indv. per site"
9,"Rare Alleles",0.137868075728739,0.123610137233297,0.14674947410598,"Additional sampling","1 indv. per site"
10,"Rare Alleles",0.157181107883402,0.141240108183913,0.16738455374136,"Additional sampling","1 indv. per site"
11,"Rare Alleles",0.174444255233898,0.157668035660623,0.184613843534008,"Additional sampling","1 indv. per site"
12,"Rare Alleles",0.1917731142943,0.174696984874286,0.203245517379545,"Additional sampling","1 indv. per site"
